NO,benchmark,workload,source_project,source_link,suggested_source_link,estimated_license,使用方式示例,notes
1,numpy_benchmark,matmul,NumPy,https://github.com/numpy/numpy,,BSD-3-Clause,"import numpy as np

result = A @ (B + (i * 1e-12))
U, s, Vh = np.linalg.svd(M + (i * 1e-12))
 result = np.fft.fft(signal + (i * 1e-12))","版权信息：Copyright (c) 2005-2025 NumPy Developers。

许可证：BSD 3-Clause License。允许以源代码或二进制形式再分发和修改，但必须保留版权声明、条件列表和免责声明；未经事先书面许可，不得使用 NumPy 贡献者的名称为衍生产品背书或推广。

免责声明：软件按“原样”提供，版权持有人和贡献者不对适销性、特定用途适用性或其他明示、默示担保负责；对于因使用软件引起的直接、间接、偶发、特殊、惩戒性或后果性损失不承担责任。"
2,numpy_benchmark,svd,NumPy,https://github.com/numpy/numpy,,BSD-3-Clause,,
3,numpy_benchmark,fft,NumPy,https://github.com/numpy/numpy,,BSD-3-Clause,,
4,tuf_benchmark,tuf-metadata,TUF,https://github.com/theupdateframework/python-tuf,,"Apache-2.0, MIT","from tuf.api.metadata import Metadata

Metadata.from_bytes(meta[""data""])","Apache-2.0：允许商业使用、修改、分发、专利使用和私人使用；再分发时须保留版权及许可证声明，并包含专利授权条款。商标使用、责任和担保不在授权范围内。

MIT License：Copyright (c) 2010 New York University。允许免费使用、复制、修改、合并、发布、分发、再许可及销售软件副本；所有副本或重要部分须保留版权和许可证声明。软件按“原样”提供，不附带任何明示或默示担保，作者不对使用软件产生的索赔或损失负责。"
5,requests_benchmark,requests-json,Requests,https://github.com/psf/requests,,Apache-2.0,"调用 requests
在 client.py 里：

self.session = requests.Session()
self.session.mount(""file://"", LocalFileAdapter())
然后每次执行：
resp = self.session.get(self.file_url)
_ = resp.json()
requests 会把 ... 这种 URL 当作“正常请求对象”处理，再由自定义的 LocalFileAdapter 去读本地文件。",
6,raytrace,raytrace,Custom benchmark / open-source algorithm,https://github.com/python/pyperformance/blob/main/pyperformance/data-files/benchmarks/bm_raytrace/run_benchmark.py,,MIT,class Vector(object),
7,chaos_fractal,chaos-fractal,Custom benchmark / open-source algorithm,https://github.com/python/pyperformance/blob/main/pyperformance/data-files/benchmarks/bm_chaos/run_benchmark.py,,MIT,,
8,deltablue,deltablue,Custom benchmark / open-source algorithm,https://github.com/python/pyperformance/blob/main/pyperformance/data-files/benchmarks/bm_deltablue/run_benchmark.py,,"MIT, GPL(v8原始代码）",,
9,pyflate,pyflate,Python zlib / pyflate ecosystem,https://github.com/python/pyperformance/blob/main/pyperformance/data-files/benchmarks/bm_pyflate/run_benchmark.py,,MIT / BSD-like,,
10,go_board_game,go-board-game,Go board game benchmark,https://github.com/python/pyperformance/blob/main/pyperformance/data-files/benchmarks/bm_go/run_benchmark.py,,MIT ,,
